,RandID,Genotype,Replicate,Day 1,Day 2,Day 3,Nr_flies_Experiment_End
1,1,SR2,N2,36,34,24,5
2,2,SR1,N10,34,29,33,5
3,3,R3R3,N8,10,15,18,5
4,4,R3R3,N10,9,11,17,5
5,5,SR2,N5,36,25,19,5
6,6,SR3,N6,53,38,30,5
7,7,SR1,N7,48,37,33,5
8,8,SR3,N3,33,29,30,5
9,9,R2R2,N2,55,28,26,5
10,10,R3R3,N1,33,35,26,5
11,11,R1R1,N10,36,10,26,5
12,12,SS,N10,31,26,27,4
13,13,SR1,N3,21,27,23,5
14,14,R2R2,N3,37,29,32,5
15,15,R2R2,N9,26,18,16,5
16,16,R3R3,N3,17,21,19,5
17,17,R2R2,N10,28,21,19,5
18,18,R2R2,N1,44,37,28,4
19,19,SS,N4,28,26,17,5
20,20,R1R1,N3,16,12,32,5
21,21,SR2,N10,76,34,30,5
22,22,R1R1,N8,29,25,20,5
23,23,SS,N5,40,30,26,5
24,24,SR1,N8,34,27,25,5
25,25,R3R3,N6,14,16,18,5
26,26,SS,N2,46,37,29,5
27,27,SS,N1,33,36,25,5
28,28,R3R3,N9,14,28,25,5
29,29,SR3,N2,43,31,31,5
30,30,SR2,N9,38,29,27,5
31,31,R2R2,N4,10,20,20,5
32,32,R3R3,N5,9,26,26,5
33,33,R1R1,N7,48,34,28,5
34,34,SR2,N3,35,41,32,5
35,35,R3R3,N4,11,11,20,5
36,36,R2R2,N8,34,21,27,5
37,37,R1R1,N9,21,7,15,6
38,38,SR1,N5,35,35,37,5
39,39,SR1,N2,22,13,19,5
40,40,R1R1,N4,23,21,17,5
41,41,SS,N7,35,16,27,5
42,42,SR3,N9,12,28,29,4
43,43,SR2,N8,50,30,20,5
44,44,R2R2,N5,41,29,34,5
45,45,SR1,N9,16,19,22,4
46,46,SS,N6,45,22,24,5
47,47,R2R2,N6,45,24,23,5
48,48,SR3,N4,68,45,33,4
49,49,SR3,N5,35,25,30,5
50,50,R1R1,N1,13,10,19,5
51,51,SS,N8,42,36,34,5
52,52,R1R1,N6,4,18,20,5
53,53,R1R1,N5,41,16,28,5
54,54,SR3,N7,40,33,29,5
55,55,SR1,N1,14,20,31,5
56,56,R3R3,N2,8,13,9,5
57,57,SR2,N1,27,20,23,5
58,58,SR2,N7,20,17,23,5
59,59,SR2,N6,20,26,29,5
60,60,SS,N9,70,37,28,5
61,61,SS,N3,56,30,26,5
62,62,SR3,N8,26,28,25,5
63,63,SR1,N6,24,26,23,5
64,64,SR3,N10,38,31,34,5
65,65,R2R2,N7,32,28,32,5
66,66,R3R3,N7,NA,,NA,5
67,67,SR2,N4,42,42,33,5
68,68,SR1,N4,33,18,23,5
69,69,R1R1,N2,NA,NA,NA,5
70,70,SR3,N1,49,38,29,5