Rand_ID,Genotype ,Replicate ,7/15/2023_12pm,7/15/2023_8pm,7/16/2023_12pm,7/16/2023_8pm,7/17/2023_12pm,7/17/2023_8pm,7/18/2023_12pm,7/18/2023_8pm,7/19/2023_12pm,7/19/2023_8pm,7/20/2023_12pm,7/21/2023_9pm
1,R1R1,N4,0,0,3,3,9,9,6,5,6,3,0,0
2,R3R3,N8,0,0,0,7,14,9,7,1,0,1,0,0
3,SR3,N5,0,0,3,10,16,7,7,1,0,0,0,0
4,SR3,N7,0,0,10,6,9,12,2,3,2,0,0,0
5,SR1,N2,0,0,6,8,10,11,8,0,0,0,0,1
6,SR2,N1,0,0,13,8,11,8,3,0,1,0,0,0
7,SR1,N1,0,0,6,10,10,11,3,2,0,0,0,0
8,R1R1,N3,0,0,0,4,5,11,10,4,4,1,1,2
9,R3R3,N6,0,0,1,9,7,9,8,1,2,0,0,2
10,R1R1,N10,0,0,2,7,5,8,6,3,6,0,1,1
11,SR2,N6,0,0,6,7,15,11,5,0,0,0,0,0
12,SR3,N4,0,0,5,9,15,7,4,1,0,0,0,0
13,SR3,N8,0,0,4,12,13,8,4,0,1,0,0,0
14,SR3,N1,0,0,3,10,19,8,1,0,1,0,0,0
15,R3R3,N1,0,0,2,7,14,11,4,1,1,0,0,0
16,SR3,N6,0,0,8,12,11,5,4,0,0,0,0,0
17,SR2,N2,0,0,9,7,18,8,1,0,0,0,0,0
18,SR2,N7,0,0,6,11,11,8,4,0,0,0,1,0
19,R3R3,N9,0,0,0,12,10,8,9,1,1,0,0,0
20,R2R2,N6,0,0,5,15,6,7,2,1,1,0,0,0
21,R2R2,N1,0,0,8,8,7,4,11,1,1,0,0,0
22,SR1,N10,0,0,10,8,17,4,5,0,0,0,0,0
23,R2R2,N9,0,0,8,9,8,5,6,0,2,1,1,1
24,SR2,N3,0,0,7,11,18,7,2,0,1,0,0,0
25,R2R2,N8,0,0,9,6,12,6,3,1,1,1,1,1
26,R1R1,N8,0,0,1,4,10,6,7,5,4,2,1,0
27,SR1,N5,0,0,2,10,16,8,4,1,0,0,0,0
28,R1R1,N9,0,0,2,3,10,9,9,1,3,0,1,2
29,R3R3,N2,0,0,3,5,13,7,5,2,1,1,0,0
30,SS,N9,0,0,8,8,13,7,7,2,0,0,0,0
31,SS,N4,0,1,5,12,6,13,4,1,0,0,0,0
32,R1R1,N6,0,0,1,4,8,7,10,3,4,0,0,1
33,SR2,N9,0,0,11,11,11,10,1,1,1,0,0,0
34,R3R3,N5,0,0,3,12,4,9,7,1,0,1,1,0
35,SS,N10,0,0,6,7,9,13,7,3,1,0,2,0
36,SR1,N3,0,0,6,9,9,7,9,0,1,0,1,0
37,SR1,N9,0,0,6,12,12,11,4,1,0,0,0,0
38,SS,N2,0,0,7,11,13,9,5,1,0,1,0,0
39,SS,N5,0,1,3,13,11,14,5,2,0,0,0,0
40,R1R1,N1,0,0,1,6,10,11,8,4,5,0,0,1
41,R2R2,N7,0,0,3,10,8,10,6,1,1,0,0,1
42,SS,N3,0,0,4,12,17,6,3,0,1,0,0,0
43,R3R3,N3,0,0,1,7,9,16,6,1,3,0,0,2
44,SR3,N3,0,0,7,12,14,12,2,0,0,0,0,0
45,SR2,N4,0,0,11,10,9,11,4,0,0,0,0,0
46,SR1,N6,0,0,6,16,10,5,8,0,2,0,0,0
47,R2R2,N5,0,0,5,7,12,3,3,0,2,1,1,0
48,R1R1,N5,0,0,1,5,9,11,6,3,4,1,0,0
49,SR2,N10,0,1,8,13,10,7,2,0,0,0,0,0
50,R1R1,N7,0,0,1,6,5,11,8,1,5,1,1,1
51,R2R2,N2,0,1,10,6,9,9,4,2,0,0,1,0
52,SR2,N8,0,0,18,9,9,4,1,0,1,0,0,0
53,SR3,N9,0,2,15,6,15,6,2,0,0,0,0,0
54,SR3,N10,0,0,9,14,12,2,1,1,0,1,0,0
55,SR3,N2,0,1,6,15,16,2,2,0,1,0,0,0
56,R1R1,N2,0,0,1,5,8,6,9,2,3,0,3,1
57,SR2,N5,0,3,8,17,11,3,1,0,0,0,0,0
58,R3R3,N4,0,0,2,7,17,5,4,2,1,0,2,0
59,R2R2,N3,0,0,11,6,12,3,4,1,2,0,2,0
60,SS,N8,0,1,11,10,13,10,3,0,1,0,0,0
61,SR1,N7,0,0,5,13,14,8,4,0,0,0,0,0
62,SS,N6,0,1,3,11,16,5,2,2,0,0,0,1
63,R2R2,N4,0,0,10,12,12,5,5,1,0,0,0,0
64,SR1,N4,0,1,8,9,17,5,3,0,0,0,0,0
65,SR1,N8,0,2,8,11,10,5,1,0,0,0,0,0
66,R3R3,N10,0,0,4,9,15,6,4,1,0,0,0,0
67,R3R3,N7,0,0,3,8,16,7,4,0,2,0,0,0
68,SS,N1,0,1,7,13,13,8,1,0,1,0,0,0
69,SS,N7,0,0,8,10,13,8,4,0,0,0,1,0
70,R2R2,N10,0,0,7,8,5,0,1,0,0,0,0,0