Date,TP,Treatment_Cage,Treatment,Cage,Replicate,count
2021-07-19,1,E1,E,1,A,42
2021-07-19,1,E1,E,1,B,17
2021-07-19,1,E1,E,1,C,3
2021-07-19,1,E1,E,1,D,5
2021-07-19,1,E10,E,10,A,136
2021-07-19,1,E10,E,10,B,129
2021-07-19,1,E2,E,2,A,17
2021-07-19,1,E2,E,2,B,43
2021-07-19,1,E2,E,2,C,9
2021-07-19,1,E2,E,2,D,17
2021-07-19,1,E3,E,3,A,133
2021-07-19,1,E3,E,3,B,116
2021-07-19,1,E3,E,3,C,31
2021-07-19,1,E3,E,3,D,35
2021-07-19,1,E4,E,4,A,95
2021-07-19,1,E4,E,4,B,33
2021-07-19,1,E4,E,4,C,241
2021-07-19,1,E4,E,4,D,51
2021-07-19,1,E5,E,5,A,31
2021-07-19,1,E5,E,5,B,14
2021-07-19,1,E5,E,5,C,8
2021-07-19,1,E5,E,5,D,10
2021-07-19,1,E6,E,6,A,23
2021-07-19,1,E6,E,6,B,98
2021-07-19,1,E6,E,6,C,270
2021-07-19,1,E6,E,6,D,200
2021-07-19,1,E7,E,7,A,10
2021-07-19,1,E7,E,7,B,107
2021-07-19,1,E7,E,7,C,67
2021-07-19,1,E7,E,7,D,20
2021-07-19,1,E8,E,8,A,36
2021-07-19,1,E8,E,8,B,55
2021-07-19,1,E8,E,8,C,29
2021-07-19,1,E8,E,8,D,17
2021-07-19,1,E9,E,9,A,112
2021-07-19,1,E9,E,9,B,97
2021-07-19,1,E9,E,9,C,57
2021-07-19,1,E9,E,9,D,110
2021-07-19,1,P1,P,1,A,22
2021-07-19,1,P1,P,1,B,565
2021-07-19,1,P1,P,1,C,4
2021-07-19,1,P1,P,1,D,10
2021-07-19,1,P10,P,10,A,186
2021-07-19,1,P10,P,10,B,0
2021-07-19,1,P10,P,10,C,3
2021-07-19,1,P10,P,10,D,336
2021-07-19,1,P2,P,2,A,53
2021-07-19,1,P2,P,2,B,14
2021-07-19,1,P2,P,2,C,559
2021-07-19,1,P2,P,2,D,50
2021-07-19,1,P3,P,3,A,126
2021-07-19,1,P3,P,3,B,43
2021-07-19,1,P3,P,3,C,39
2021-07-19,1,P3,P,3,D,3
2021-07-19,1,P4,P,4,A,34
2021-07-19,1,P4,P,4,B,0
2021-07-19,1,P4,P,4,C,12
2021-07-19,1,P4,P,4,D,39
2021-07-19,1,P5,P,5,A,116
2021-07-19,1,P5,P,5,B,19
2021-07-19,1,P5,P,5,C,165
2021-07-19,1,P5,P,5,D,10
2021-07-19,1,P6,P,6,A,10
2021-07-19,1,P6,P,6,B,0
2021-07-19,1,P6,P,6,C,129
2021-07-19,1,P6,P,6,D,385
2021-07-19,1,P7,P,7,A,5
2021-07-19,1,P7,P,7,B,0
2021-07-19,1,P7,P,7,C,370
2021-07-19,1,P7,P,7,D,183
2021-07-19,1,P8,P,8,A,94
2021-07-19,1,P8,P,8,B,36
2021-07-19,1,P8,P,8,C,216
2021-07-19,1,P8,P,8,D,702
2021-07-19,1,P9,P,9,A,137
2021-07-19,1,P9,P,9,B,110
2021-07-19,1,P9,P,9,C,352
2021-07-19,1,P9,P,9,D,21
2021-08-05,2,E10,E,10,A,128
2021-08-05,2,E10,E,10,B,113
2021-08-05,2,E1,E,1,A,175
2021-08-05,2,E1,E,1,B,34
2021-08-05,2,E1,E,1,C,299
2021-08-05,2,E1,E,1,D,114
2021-08-05,2,E2,E,2,A,277
2021-08-05,2,E2,E,2,B,444
2021-08-05,2,E2,E,2,C,45
2021-08-05,2,E2,E,2,D,109
2021-08-05,2,E3,E,3,A,96
2021-08-05,2,E3,E,3,B,256
2021-08-05,2,E3,E,3,C,312
2021-08-05,2,E3,E,3,D,703
2021-08-05,2,E4,E,4,A,186
2021-08-05,2,E4,E,4,B,474
2021-08-05,2,E4,E,4,C,657
2021-08-05,2,E5,E,5,A,107
2021-08-05,2,E5,E,5,B,27
2021-08-05,2,E5,E,5,C,25
2021-08-05,2,E5,E,5,D,23
2021-08-05,2,E6,E,6,A,794
2021-08-05,2,E6,E,6,B,249
2021-08-05,2,E6,E,6,C,0
2021-08-05,2,E6,E,6,D,63
2021-08-05,2,E7,E,7,A,345
2021-08-05,2,E7,E,7,B,72
2021-08-05,2,E7,E,7,C,319
2021-08-05,2,E7,E,7,D,447
2021-08-05,2,E8,E,8,A,157
2021-08-05,2,E8,E,8,B,293
2021-08-05,2,E8,E,8,C,286
2021-08-05,2,E8,E,8,D,170
2021-08-05,2,E9,E,9,A,312
2021-08-05,2,E9,E,9,B,394
2021-08-05,2,E9,E,9,C,220
2021-08-05,2,E9,E,9,D,394
2021-08-05,2,P10,P,10,A,371
2021-08-05,2,P10,P,10,B,550
2021-08-05,2,P10,P,10,C,6
2021-08-05,2,P10,P,10,D,0
2021-08-05,2,P1,P,1,A,88
2021-08-05,2,P1,P,1,B,445
2021-08-05,2,P1,P,1,C,37
2021-08-05,2,P1,P,1,D,25
2021-08-05,2,P2,P,2,A,125
2021-08-05,2,P2,P,2,B,668
2021-08-05,2,P2,P,2,C,27
2021-08-05,2,P2,P,2,D,194
2021-08-05,2,P3,P,3,A,329
2021-08-05,2,P3,P,3,B,165
2021-08-05,2,P3,P,3,C,152
2021-08-05,2,P3,P,3,D,21
2021-08-05,2,P4,P,4,A,61
2021-08-05,2,P4,P,4,B,507
2021-08-05,2,P4,P,4,C,482
2021-08-05,2,P4,P,4,D,56
2021-08-05,2,P5,P,5,A,101
2021-08-05,2,P5,P,5,B,12
2021-08-05,2,P5,P,5,C,18
2021-08-05,2,P5,P,5,D,483
2021-08-05,2,P6,P,6,A,23
2021-08-05,2,P6,P,6,B,28
2021-08-05,2,P6,P,6,C,137
2021-08-05,2,P6,P,6,D,652
2021-08-05,2,P7,P,7,A,20
2021-08-05,2,P7,P,7,B,35
2021-08-05,2,P7,P,7,C,486
2021-08-05,2,P7,P,7,D,649
2021-08-05,2,P8,P,8,A,81
2021-08-05,2,P8,P,8,B,85
2021-08-05,2,P8,P,8,C,241
2021-08-05,2,P8,P,8,D,555
2021-08-05,2,P9,P,9,A,137
2021-08-05,2,P9,P,9,B,51
2021-08-05,2,P9,P,9,C,50
2021-08-05,2,P9,P,9,D,271
2021-08-20,3,E10,E,10,A,58
2021-08-20,3,E10,E,10,B,88
2021-08-20,3,E1,E,1,A,337
2021-08-20,3,E1,E,1,B,175
2021-08-20,3,E1,E,1,C,12
2021-08-20,3,E1,E,1,D,10
2021-08-20,3,E2,E,2,A,285
2021-08-20,3,E2,E,2,B,1146
2021-08-20,3,E2,E,2,C,43
2021-08-20,3,E2,E,2,D,153
2021-08-20,3,E3,E,3,A,239
2021-08-20,3,E3,E,3,B,947
2021-08-20,3,E3,E,3,C,58
2021-08-20,3,E3,E,3,D,32
2021-08-20,3,E4,E,4,A,238
2021-08-20,3,E4,E,4,B,929
2021-08-20,3,E4,E,4,C,62
2021-08-20,3,E5,E,5,A,123
2021-08-20,3,E5,E,5,B,473
2021-08-20,3,E5,E,5,C,175
2021-08-20,3,E5,E,5,D,32
2021-08-20,3,E6,E,6,A,301
2021-08-20,3,E6,E,6,B,79
2021-08-20,3,E6,E,6,C,27
2021-08-20,3,E6,E,6,D,246
2021-08-20,3,E7,E,7,A,43
2021-08-20,3,E7,E,7,B,16
2021-08-20,3,E7,E,7,C,79
2021-08-20,3,E7,E,7,D,194
2021-08-20,3,E8,E,8,A,85
2021-08-20,3,E8,E,8,B,56
2021-08-20,3,E8,E,8,C,301
2021-08-20,3,E8,E,8,D,104
2021-08-20,3,E9,E,9,A,273
2021-08-20,3,E9,E,9,B,121
2021-08-20,3,E9,E,9,C,194
2021-08-20,3,E9,E,9,D,507
2021-08-20,3,E4,E,4,D,57
2021-08-20,3,P10,P,10,A,408
2021-08-20,3,P10,P,10,B,364
2021-08-20,3,P10,P,10,C,1
2021-08-20,3,P10,P,10,D,13
2021-08-20,3,P1,P,1,A,534
2021-08-20,3,P1,P,1,B,70
2021-08-20,3,P1,P,1,C,16
2021-08-20,3,P1,P,1,D,88
2021-08-20,3,P2,P,2,A,28
2021-08-20,3,P2,P,2,B,328
2021-08-20,3,P2,P,2,C,22
2021-08-20,3,P2,P,2,D,20
2021-08-20,3,P3,P,3,A,202
2021-08-20,3,P3,P,3,B,421
2021-08-20,3,P3,P,3,C,57
2021-08-20,3,P3,P,3,D,397
2021-08-20,3,P4,P,4,A,64
2021-08-20,3,P4,P,4,B,283
2021-08-20,3,P4,P,4,C,1083
2021-08-20,3,P5,P,5,A,26
2021-08-20,3,P5,P,5,B,229
2021-08-20,3,P5,P,5,C,296
2021-08-20,3,P5,P,5,D,0
2021-08-20,3,P6,P,6,A,10
2021-08-20,3,P6,P,6,B,185
2021-08-20,3,P6,P,6,C,198
2021-08-20,3,P6,P,6,D,287
2021-08-20,3,P7,P,7,A,88
2021-08-20,3,P7,P,7,B,32
2021-08-20,3,P7,P,7,C,349
2021-08-20,3,P7,P,7,D,170
2021-08-20,3,P8,P,8,A,89
2021-08-20,3,P8,P,8,B,1
2021-08-20,3,P8,P,8,C,197
2021-08-20,3,P8,P,8,D,777
2021-08-20,3,P9,P,9,A,415
2021-08-20,3,P9,P,9,B,0
2021-08-20,3,P9,P,9,C,101
2021-08-20,3,P9,P,9,D,123
2021-09-17,4,E1,E,1,A,119
2021-09-17,4,E1,E,1,B,264
2021-09-17,4,E1,E,1,C,176
2021-09-17,4,E1,E,1,D,48
2021-09-17,4,E2,E,2,A,286
2021-09-17,4,E2,E,2,B,115
2021-09-17,4,E2,E,2,C,405
2021-09-17,4,E2,E,2,D,65
2021-09-17,4,E3,E,3,A,344
2021-09-17,4,E3,E,3,B,20
2021-09-17,4,E3,E,3,C,193
2021-09-17,4,E3,E,3,D,210
2021-09-17,4,E4,E,4,A,266
2021-09-17,4,E4,E,4,B,222
2021-09-17,4,E4,E,4,C,685
2021-09-17,4,E4,E,4,D,137
2021-09-17,4,E5,E,5,A,772
2021-09-17,4,E5,E,5,B,362
2021-09-17,4,E5,E,5,C,97
2021-09-17,4,E5,E,5,D,290
2021-09-17,4,E6,E,6,A,406
2021-09-17,4,E6,E,6,B,0
2021-09-17,4,E6,E,6,C,0
2021-09-17,4,E6,E,6,D,142
2021-09-17,4,E7,E,7,A,139
2021-09-17,4,E7,E,7,B,67
2021-09-17,4,E7,E,7,C,311
2021-09-17,4,E7,E,7,D,373
2021-09-17,4,E8,E,8,A,67
2021-09-17,4,E8,E,8,B,116
2021-09-17,4,E8,E,8,C,321
2021-09-17,4,E8,E,8,D,215
2021-09-17,4,E9,E,9,A,22
2021-09-17,4,E9,E,9,B,45
2021-09-17,4,E9,E,9,C,202
2021-09-17,4,E9,E,9,D,305
2021-09-17,4,E10,E,10,A,57
2021-09-17,4,E10,E,10,B,48
2021-09-17,4,E10,E,10,C,211
2021-09-17,4,E10,E,10,D,387
2021-09-17,4,P1,P,1,A,55
2021-09-17,4,P1,P,1,B,368
2021-09-17,4,P1,P,1,C,27
2021-09-17,4,P1,P,1,D,46
2021-09-17,4,P2,P,2,A,34
2021-09-17,4,P2,P,2,B,691
2021-09-17,4,P2,P,2,C,81
2021-09-17,4,P2,P,2,D,20
2021-09-17,4,P3,P,3,A,142
2021-09-17,4,P3,P,3,B,252
2021-09-17,4,P3,P,3,C,22
2021-09-17,4,P3,P,3,D,197
2021-09-17,4,P4,P,4,A,333
2021-09-17,4,P4,P,4,B,673
2021-09-17,4,P4,P,4,C,605
2021-09-17,4,P4,P,4,D,275
2021-09-17,4,P5,P,5,A,113
2021-09-17,4,P5,P,5,B,209
2021-09-17,4,P5,P,5,C,321
2021-09-17,4,P5,P,5,D,0
2021-09-17,4,P6,P,6,A,22
2021-09-17,4,P6,P,6,B,91
2021-09-17,4,P6,P,6,C,582
2021-09-17,4,P6,P,6,D,542
2021-09-17,4,P7,P,7,A,6
2021-09-17,4,P7,P,7,B,9
2021-09-17,4,P7,P,7,C,128
2021-09-17,4,P7,P,7,D,162
2021-09-17,4,P8,P,8,A,17
2021-09-17,4,P8,P,8,B,256
2021-09-17,4,P8,P,8,C,180
2021-09-17,4,P8,P,8,D,1015
2021-09-17,4,P9,P,9,A,30
2021-09-17,4,P9,P,9,B,174
2021-09-17,4,P9,P,9,C,144
2021-09-17,4,P9,P,9,D,714
2021-09-17,4,P10,P,10,A,323
2021-09-17,4,P10,P,10,B,45
2021-09-17,4,P10,P,10,C,748
2021-09-17,4,P10,P,10,D,6
